fold,cause,precision,recall,f1
1,BearingWear,0.4312406576980568,0.9914089347079038,0.6010416666666667
1,CloggedFilter,0.8735737106344135,1.0,0.9325213154689403
1,FanFault,0.7208510638297873,0.981460023174971,0.831207065750736
1,LowCoolingEfficiency,0.22142857142857142,0.4305555555555556,0.29245283018867924
2,BearingWear,0.4475743348982786,1.0,0.6183783783783784
2,CloggedFilter,0.8697198755002223,1.0,0.930321046373365
2,FanFault,0.7404255319148936,0.9954233409610984,0.849194729136164
2,LowCoolingEfficiency,0.2113370301910043,0.41325301204819276,0.2796575621687729
3,BearingWear,0.44220730797912006,0.9932998324958124,0.6119711042311662
3,CloggedFilter,0.9,1.0,0.9473684210526315
3,FanFault,0.717948717948718,0.9938800489596084,0.8336755646817249
3,LowCoolingEfficiency,0.21382842509603073,0.4138785625774473,0.281975517095821
4,BearingWear,0.43169398907103823,1.0,0.6030534351145038
4,CloggedFilter,0.8725711703569815,1.0,0.931949806949807
4,FanFault,0.7245873153779322,1.0,0.8403022670025189
4,LowCoolingEfficiency,0.24444444444444444,0.46153846153846156,0.3196125907990315
5,BearingWear,0.4246153846153846,1.0,0.5961123110151187
5,CloggedFilter,0.8536912751677852,1.0,0.9210716871832005
5,FanFault,0.7286063569682152,1.0,0.842998585572843
5,LowCoolingEfficiency,0.22365988909426987,0.43946731234866826,0.29644752960391996
